Adequate,Effective,Ineffective
-1.038,0.631,0.1539
-3.707,-0.8525,4.33
0.1753,1.125,-1.514
-0.02481,0.948,-1.101
-0.1672,0.9805,-1.061
-0.4238,0.843,-0.6763
-1.284,0.769,0.07806
0.03735,1.214,-1.589
-0.606,0.826,-0.4717
-0.1975,1.013,-1.075
-1.518,0.7153,0.3198
0.567,1.7705,-2.646
-0.0535,0.9453,-1.085
-1.004,0.894,-0.3599
0.3252,1.42,-2.0
-0.06757,0.9077,-1.035
-0.4946,0.9863,-0.855
-1.453,1.123,-0.344
-0.1432,1.318,-1.491
-0.939,1.198,-0.6914
0.3481,1.449,-2.133
-1.825,0.6943,0.4272
1.336,2.582,-4.445
-0.2864,1.193,-1.207
-0.6343,0.871,-0.5547
-0.04517,1.151,-1.346
0.2954,1.266,-1.835
0.3787,1.119,-1.722
-0.3254,1.35,-1.274
-0.1709,1.062,-1.218
-1.052,1.049,-0.4414
0.4507,1.32,-2.027
-0.217,1.01,-1.012
0.1958,1.129,-1.525
0.3381,1.205,-1.701
-1.84,0.5884,0.802
-0.251,0.8955,-0.859
-0.01746,0.6157,-0.6963
0.2825,1.35,-1.904
-0.9136,0.7827,-0.1694
-0.1829,0.942,-0.9834
-3.643,-0.828,4.12
-0.9785,0.5073,0.236
-2.168,0.601,1.063
0.504,1.86,-2.854
0.2444,1.075,-1.505
0.604,1.662,-2.566
0.04974,1.059,-1.24
-0.1346,0.965,-1.028
-1.921,1.019,0.29
0.11053,0.931,-1.187
-2.395,0.3445,1.451
-0.9473,1.223,-0.6665
-0.8516,0.8784,-0.4053
-0.074,1.084,-1.294
-1.215,1.706,-1.099
0.5464,1.345,-2.137
0.04858,0.943,-1.199
-4.117,-0.3596,3.756
-1.752,0.9756,0.199
-3.664,-0.10846,3.057
-2.73,0.475,1.555
-2.77,0.3604,1.83
-0.392,0.9243,-0.7773
0.2004,1.941,-2.451
-0.6646,2.03,-1.946
0.3538,1.488,-2.219
-1.014,1.72,-1.385
0.782,1.103,-2.006
0.7534,1.512,-2.508
0.6914,1.525,-2.424
0.4736,1.582,-2.367
-3.139,0.2169,2.246
-0.7188,0.89,-0.419
0.4695,1.326,-2.035
-1.268,0.8525,0.01688
1.103,1.373,-2.57
0.2382,1.305,-1.769
-1.962,0.888,0.658
-3.703,-0.3997,3.627
-1.414,0.67,0.393
-3.574,-0.1808,3.34
-4.035,-0.037,3.334
-3.48,0.0904,2.705
-3.408,0.1444,2.602
-0.1771,1.218,-1.32
-3.08,0.1382,2.426
-0.4465,0.928,-0.7266
-0.9287,0.9644,-0.3625
-0.3198,0.9355,-0.875
-2.672,0.5977,1.432
0.8335,1.436,-2.41
0.1785,1.047,-1.417
0.3333,1.237,-1.738
-0.4077,0.9336,-0.7803
-0.02493,1.056,-1.263
-2.625,0.6685,1.303
-1.103,0.8613,-0.151
0.05548,1.348,-1.736
-1.234,0.9653,-0.1482
-0.01122,0.993,-1.188
1.033,1.686,-2.969
-2.793,0.4832,1.548
-0.0646,1.196,-1.365
0.06775,1.098,-1.383
-0.8115,0.7705,-0.2219
-3.67,0.1488,2.686
-1.204,0.993,-0.322
0.7505,0.2935,-0.693
0.584,1.23,-1.969
-1.045,0.9004,-0.1858
-1.628,0.473,0.892
-0.619,1.051,-0.7363
-0.386,1.199,-1.149
-0.781,0.647,-0.09845
1.089,2.607,-4.242
-0.1342,0.8145,-0.864
-1.843,0.9775,0.4028
0.1919,0.9766,-1.336
-0.1796,1.047,-1.158
-0.011955,0.972,-1.153
-0.6763,0.823,-0.431
-0.4294,0.9146,-0.794
-0.282,0.9067,-0.851
0.0454,0.95,-1.183
-0.35,1.024,-0.9526
-1.656,0.5415,0.6997
-0.05118,1.313,-1.56
-3.656,-0.2063,3.35
0.5596,1.449,-2.25
-0.272,0.963,-0.91
-1.198,0.873,-0.1034
0.1544,1.2,-1.588
-1.205,0.819,0.02362
-1.787,0.2507,1.168
-0.02565,1.32,-1.566
-1.28,0.5786,0.3481
-0.1526,0.9746,-1.014
-3.432,-0.643,3.658
-0.6606,0.596,-0.1425
0.5117,1.961,-2.988
0.589,1.299,-2.117
-0.3948,0.9385,-0.8154
-3.117,0.2129,2.377
-0.7974,0.657,-0.1205
-1.611,0.6724,0.549
-0.013535,1.26,-1.507
0.4304,1.335,-1.982
-0.8213,0.8105,-0.334
-2.207,0.5625,1.23
0.4492,-0.8438,1.01
-0.8887,0.6167,0.0517
-1.9,0.4148,1.074
0.01762,1.148,-1.439
-2.55,0.4888,1.464
-0.755,0.545,0.01141
-0.1543,1.025,-1.123
-2.68,0.06506,2.129
0.00436,1.496,-1.795
-0.2747,0.9683,-0.938
-0.4424,1.195,-1.181
0.0291,1.081,-1.371
-0.1345,1.082,-1.125
-4.43,-0.2388,3.902
0.3584,1.862,-2.639
-0.5713,1.098,-0.838
-1.13,0.8237,-0.0666
0.619,1.301,-2.137
-3.451,0.0734,2.867
0.7227,1.799,-2.877
0.0887,1.028,-1.347
-1.639,0.6387,0.6035
-2.943,0.2437,2.037
-2.645,0.3506,1.729
-0.395,0.9136,-0.7534
-4.305,-0.5845,4.383
-4.754,-0.5645,4.63
-0.506,0.645,-0.2737
-1.153,0.284,0.725
-0.4949,1.066,-0.867
-0.932,0.8584,-0.1214
-1.496,0.862,0.1885
-2.438,0.3223,1.773
-0.2822,1.033,-1.016
0.673,0.08093,-0.398
-2.518,0.8516,1.003
-4.64,-0.839,5.035
-0.4639,1.149,-0.9805
-2.615,0.2397,1.798
-0.2825,0.707,-0.546
3.135,0.3354,-2.855
0.175,1.327,-1.786
0.8174,1.995,-3.242
-2.258,0.6562,1.099
0.1917,1.656,-2.22
0.2329,1.216,-1.661
-0.12366,1.6455,-1.899
-2.057,0.689,0.8784
0.01625,1.445,-1.769
-0.0199,1.117,-1.361
0.02814,0.9316,-1.051
-0.1648,1.309,-1.468
-3.57,0.57,2.154
0.612,1.648,-2.582
-0.2793,0.9053,-0.8555
0.5884,1.624,-2.562
-1.239,0.6006,0.3818
-4.29,-0.2214,3.582
0.2678,1.219,-1.742
-0.1677,2.234,-2.732
-1.57,0.444,0.803
-0.1356,0.862,-0.9424
-3.035,0.5566,1.698
-1.768,0.883,0.3542
0.9004,2.492,-3.896
0.1613,1.305,-1.743
1.062,1.693,-3.045
0.6035,1.287,-2.062
-1.481,0.617,0.502
-0.2322,1.549,-1.722
-0.3145,1.151,-1.133
-4.715,-0.8867,5.016
0.02776,2.055,-2.502
0.783,1.456,-2.469
-0.2996,0.968,-0.9546
-0.5903,0.679,-0.2507
-1.855,0.8613,0.4553
-1.679,0.671,0.6743
0.2769,0.9644,-1.384
-0.2441,1.297,-1.435
-0.3127,1.293,-1.354
-0.6836,1.113,-0.7593
-1.558,1.017,-0.0763
-0.4595,0.957,-0.699
-1.577,0.9365,0.1343
-1.397,0.593,0.3706
-0.4175,1.183,-1.226
0.3125,1.273,-1.879
-2.475,0.3098,1.595
-3.63,0.3564,2.426
0.0681,0.9565,-1.216
0.5386,1.359,-2.127
-0.7295,0.8213,-0.4219
-0.8604,0.963,-0.4639
-0.05508,0.91,-1.04
-2.58,0.6216,1.303
-0.992,1.22,-0.666
-0.4014,0.9033,-0.782
-2.494,0.2222,1.848
-1.922,0.721,0.7056
0.4814,1.185,-1.866
-0.5303,0.9004,-0.649
-3.48,-1.658,5.414
-0.04517,0.8706,-0.98
-2.104,0.3638,1.416
-1.861,0.623,0.7812
-2.096,0.5474,0.9946
-0.3577,1.169,-1.084
-0.4214,1.283,-1.193
-2.336,-0.02037,1.901
-1.824,1.264,-0.02115
0.2424,1.586,-2.168
-1.001,1.071,-0.5576
-3.3,0.9497,1.454
1.051,1.853,-3.156
-1.479,0.882,0.03586
0.624,1.429,-2.35
-0.4082,1.365,-1.314
1.163,2.188,-3.72
-2.018,0.4998,1.085
-0.699,0.4407,0.364
-0.701,0.9785,-0.5933
-0.01334,1.256,-1.541
-0.04895,1.109,-1.309
-1.596,0.6343,0.576
0.1777,1.364,-1.764
-0.5083,0.87,-0.5884
-3.547,-0.398,3.621
-0.501,1.152,-0.9644
-0.51,0.8022,-0.537
0.442,1.354,-2.006
0.3472,1.255,-1.906
-2.205,0.1115,1.783
0.4993,1.9,-2.758
-4.25,-0.1598,3.559
0.1733,-0.3804,0.5225
-0.2133,1.088,-1.19
0.2058,1.349,-1.921
-0.2068,0.8105,-0.802
-1.728,0.5947,0.7095
0.4302,1.355,-2.018
-4.273,-1.138,5.23
-0.374,0.977,-0.8843
-2.457,-0.2479,2.465
-1.957,0.538,1.065
-1.479,0.717,0.349
-0.2161,1.036,-1.1045
0.2463,1.066,-1.515
-0.2079,1.132,-1.165
0.062,1.132,-1.395
-0.0743,1.009,-1.138
-0.4407,0.9424,-0.7617
-1.3,0.9004,0.001007
-0.942,0.718,-0.10583
-3.068,-0.10345,2.734
-1.011,0.9165,-0.2306
0.1934,1.102,-1.512
-0.176,1.157,-1.259
-0.4084,1.138,-1.12
-0.4795,1.18,-1.145
-0.1329,1.216,-1.23
-3.379,-0.449,3.463
-1.5,0.457,0.7124
1.192,2.393,-3.953
0.0942,1.194,-1.535
0.532,1.515,-2.324
-0.401,1.268,-1.186
-1.348,0.8594,-0.1587
-0.175,0.9404,-0.981
0.3247,0.4001,-0.6055
-4.336,-0.499,4.22
-0.676,0.698,-0.2537
-0.02187,1.433,-1.708
-0.0746,1.179,-1.421
-4.094,-0.2842,3.67
-1.22,1.35,-0.7017
-1.815,0.834,0.553
-2.805,0.3926,1.769
-1.908,0.711,0.6016
0.3235,1.182,-1.715
-0.0762,1.168,-1.321
-1.887,0.522,0.9355
0.0551,0.989,-1.259
0.1666,1.149,-1.557
0.2329,1.017,-1.465
-4.99,-0.9414,5.406
0.1763,1.651,-2.287
-0.2006,1.415,-1.6455
-0.82,0.9307,-0.4133
0.8643,1.673,-2.742
0.3616,1.401,-2.014
-0.2944,1.244,-1.301
0.1451,0.862,-1.051
-0.514,1.019,-0.7876
-3.404,0.3342,2.275
0.2383,1.078,-1.518
-0.78,1.428,-1.182
0.3203,0.891,-1.349
0.4666,1.237,-1.864
0.06445,1.249,-1.563
-1.791,0.644,0.65
-2.395,0.885,0.932
0.1305,1.175,-1.482
0.605,1.659,-2.637
0.11584,1.308,-1.645
0.573,1.692,-2.617
0.4106,1.365,-2.031
-2.074,0.4844,0.8564
-0.3452,1.105,-1.007
-0.2764,1.583,-1.662
-0.2267,1.816,-2.047
-4.28,-0.0732,3.514
-3.16,0.565,1.832
-1.022,1.767,-1.348
-1.557,0.79,0.2605
0.9375,1.127,-2.06
0.977,2.121,-3.424
-2.545,0.5186,1.443
-3.49,-0.05475,2.906
-0.939,0.885,-0.3013
-3.562,-0.4675,3.441
-0.87,0.889,-0.346
-0.783,0.699,-0.1681
-3.635,-0.1417,3.174
-0.788,0.7954,-0.2798
-0.1454,0.9473,-1.029
-0.4292,0.956,-0.8667
-2.748,0.6094,1.465
-0.475,0.8413,-0.617
-0.5903,0.89,-0.578
0.2335,1.038,-1.485
-2.592,0.539,1.427
-2.352,0.3767,1.49
0.3303,1.383,-1.989
1.069,1.894,-3.285
1.678,1.81,-3.729
-1.147,1.443,-0.881
-0.4778,0.8584,-0.669
1.006,1.148,-2.17
-3.139,0.828,1.405
0.704,1.877,-2.951
-2.729,0.05444,2.031
0.4036,1.414,-2.13
0.1661,1.223,-1.655
0.3748,1.144,-1.709
0.3171,1.075,-1.537
-0.345,0.526,-0.2407
0.256,1.49,-2.04
0.2798,1.511,-2.07
0.0249,1.494,-1.8125
6.104e-05,0.948,-1.14
-0.9385,0.635,0.02534
-0.0725,1.185,-1.375
-0.06152,1.268,-1.414
-4.527,-0.652,4.574
1.14,1.937,-3.396
-2.32,0.546,1.441
0.3508,1.04,-1.516
0.5854,1.663,-2.592
-0.0706,1.546,-1.781
0.443,1.377,-2.057
-0.2866,1.347,-1.361
-0.769,0.913,-0.4724
-0.2568,0.8545,-0.8066
-3.264,0.4326,2.156
-0.12445,1.264,-1.381
0.01631,0.754,-0.8345
0.8447,1.268,-2.236
0.07855,1.291,-1.636
-1.523,1.163,-0.2198
-1.13,0.838,-0.08765
0.7075,1.888,-2.98
-1.929,0.6333,0.834
0.571,1.453,-2.287
-1.526,1.007,-0.1042
0.917,1.571,-2.645
-2.52,0.3306,1.644
-2.29,0.4827,1.27
-4.094,-0.00825,3.207
-1.209,0.915,-0.1727
0.272,1.289,-1.798
-0.2102,0.991,-1.001
1.361,2.217,-3.908
0.2106,1.375,-1.855
0.01477,1.244,-1.586
-0.53,0.7783,-0.4297
-0.5454,1.208,-0.985
-1.497,0.8403,0.1761
0.1763,1.21,-1.6875
0.533,1.363,-2.105
-0.47,1.773,-1.832
-0.875,0.832,-0.2693
-1.019,1.398,-0.913
-2.438,0.909,0.7886
-1.609,0.6484,0.4038
-3.287,0.9404,1.532
-0.867,0.9775,-0.3916
-0.8516,0.6973,0.01404
0.877,2.025,-3.299
0.51,1.509,-2.205
1.221,1.947,-3.484
-2.459,0.4448,1.492
-0.9585,1.145,-0.65
-0.4521,1.229,-1.165
-0.0511,1.274,-1.553
0.4065,1.357,-2.047
-0.1442,1.072,-1.148
-0.502,0.7915,-0.5454
-3.479,-0.9536,4.14
-0.3293,1.352,-1.426
0.4548,1.844,-2.729
-0.1731,1.591,-1.872
0.227,1.537,-2.15
0.1377,1.193,-1.56
0.1385,1.083,-1.479
-3.62,-0.2944,3.44
-1.525,0.6543,0.465
-0.3403,0.1475,0.2642
-3.82,0.1818,2.895
-0.3423,1.329,-1.279
0.3245,1.182,-1.712
-3.32,0.1267,2.484
0.5244,1.484,-2.252
-1.883,0.3735,1.062
-0.4846,1.132,-0.995
-1.787,0.899,0.382
0.3887,1.83,-2.572
-0.4153,1.408,-1.439
-1.756,1.162,0.0311
-0.9565,0.8374,-0.225
-0.2124,1.67,-1.8955
0.065,1.13,-1.391
-3.514,0.1029,2.615
-0.12494,1.02,-1.118
-2.457,0.4731,1.506
-1.061,1.646,-1.278
0.915,1.348,-2.543
-0.4617,0.8423,-0.6465
-0.9893,1.035,-0.4822
-0.5054,1.218,-1.107
0.0742,1.408,-1.787
-2.604,0.534,1.483
0.2825,1.303,-1.849
-0.375,1.426,-1.499
-1.6,0.4983,0.643
-1.617,0.6187,0.5986
-1.344,0.877,0.0485
-0.4768,1.195,-1.146
-0.657,0.924,-0.6206
-3.65,-0.2399,3.254
-2.256,0.6724,0.956
0.02684,0.7773,-0.9365
0.825,1.569,-2.621
-2.512,0.2988,1.794
-0.02411,1.184,-1.564
-1.091,1.582,-1.04
-0.4126,1.512,-1.5
0.2288,1.159,-1.581
-0.11066,1.602,-1.858
0.4822,1.117,-1.778
0.4438,1.574,-2.324
-1.149,1.583,-1.01
-1.177,0.9307,-0.063
-4.688,-0.9463,5.215
-0.9272,0.6943,-0.005062
-0.548,0.9395,-0.713
0.5005,1.297,-1.962
-0.1536,1.266,-1.399
-1.079,0.8076,-0.05057
-0.596,0.9023,-0.5894
0.509,1.174,-1.834
-0.1522,1.06,-1.268
0.681,1.114,-1.91
-2.617,0.3137,1.731
-2.717,0.5156,1.39
-0.0624,0.8237,-0.9385
-2.895,0.504,1.767
-0.7007,0.8477,-0.4888
-0.1865,0.9146,-0.9272
0.04056,0.9644,-1.209
-3.03,0.2029,1.988
-3.094,0.566,1.773
0.2454,1.26,-1.736
-0.1971,0.8833,-0.907
0.02237,1.011,-1.25
-2.188,0.624,0.767
-1.947,0.6675,0.9043
0.1924,1.243,-1.696
-0.5503,0.8276,-0.552
-1.811,0.738,0.65
0.6353,0.1895,-0.579
-0.4946,0.81,-0.57
-1.288,0.8574,0.0795
0.5625,1.52,-2.402
-1.603,0.685,0.4817
0.3586,1.471,-2.113
-0.7163,0.9717,-0.535
0.007103,1.109,-1.364
-0.5703,1.237,-1.045
-1.552,0.583,0.556
-2.117,0.788,0.7407
0.01282,1.054,-1.271
-0.1718,1.0205,-1.078
-0.5356,0.998,-0.723
-0.5244,0.952,-0.7676
-0.26,0.967,-0.9966
-3.777,-0.3801,3.547
-0.3064,0.898,-0.8413
-5.01,-1.167,5.848
-0.2964,1.088,-1.099
-1.423,0.3657,0.8267
0.1129,1.147,-1.455
-0.226,1.019,-1.002
-0.05194,1.493,-1.784
-3.178,0.02692,2.56
0.2389,1.262,-1.803
1.035,1.414,-2.607
0.8965,2.383,-3.76
-1.217,0.8936,-0.0642
