Adequate,Effective,Ineffective
-0.98,0.6514,-0.0317
-2.361,-0.1765,2.896
0.2686,1.142,-2.041
-0.1398,0.849,-1.418
-0.07086,1.048,-1.421
-0.583,0.7964,-0.8145
-1.318,0.819,0.088
0.03275,1.285,-1.608
-0.493,0.86,-0.9233
-0.4534,0.9434,-1.123
-1.583,0.7676,0.3591
0.2627,1.53,-2.105
-0.1638,0.836,-1.366
-0.9985,1.036,-0.03433
-0.127,1.197,-1.58
-0.2576,0.7773,-1.1
-0.3892,1.04,-0.84
-1.952,1.044,0.803
-0.3784,1.146,-1.214
-0.9766,0.987,-0.06015
-0.2198,1.147,-1.154
-2.203,0.582,2.023
1.061,2.012,-2.822
-0.4585,0.8784,-1.001
-0.58,0.912,-0.729
0.195,1.09,-1.32
0.1016,1.182,-1.68
0.4111,1.153,-1.949
-0.1213,1.101,-1.227
-0.2568,1.078,-1.354
-0.899,1.044,-0.1948
0.2058,1.222,-1.985
-0.2197,0.8047,-1.192
0.106,0.9854,-1.739
0.079,0.8823,-1.564
-1.934,0.613,0.7793
-0.4158,0.863,-1.165
-0.06274,0.585,-1.161
0.3303,1.116,-1.862
-0.7363,0.854,-0.574
-0.41,0.8374,-1.133
-2.031,-0.324,2.762
-0.522,0.5938,-0.567
-1.508,0.817,0.4905
0.542,1.772,-2.434
0.0748,0.9497,-1.691
-0.1438,1.387,-1.638
-0.01104,0.7407,-1.135
-0.458,0.8203,-0.8843
-2.213,0.917,1.108
0.03647,0.7114,-1.324
-1.503,0.857,0.9424
-1.01,0.9233,-0.2026
-0.805,0.9927,-0.5073
-0.4934,0.942,-0.986
-1.723,1.278,0.10785
0.2312,1.073,-1.784
-0.0682,0.891,-1.469
-2.873,-0.06433,3.445
-1.732,0.836,0.6
-3.445,0.1685,3.078
-2.709,0.572,1.926
-2.37,0.406,1.706
-0.3564,0.925,-1.2
-0.236,1.399,-1.225
-1.186,1.589,-0.4817
0.1154,1.457,-1.872
-1.439,1.449,0.06366
0.695,0.869,-1.856
0.328,1.19,-1.98
0.3394,1.203,-2.006
0.092,1.134,-1.5205
-2.361,0.4658,2.176
-0.4668,0.5264,0.1323
-0.011024,1.107,-1.455
-1.097,0.908,-0.3525
0.3662,1.052,-1.845
0.1632,1.131,-1.631
-1.217,0.924,0.6675
-3.375,-0.3174,4.004
-1.461,0.539,0.539
-2.672,0.0932,2.479
-2.69,0.3389,2.656
-2.781,0.4617,2.213
-3.12,0.3086,2.498
0.008156,1.115,-1.583
-1.593,0.81,0.9414
-0.5806,0.872,-0.9644
-0.9556,0.8184,-0.3293
-0.5396,0.8384,-0.8535
-2.572,0.606,1.778
0.5215,1.063,-2.025
0.12054,1.101,-1.664
-0.1761,1.039,-1.286
-0.335,0.988,-1.138
-0.2087,0.9604,-1.002
-2.518,0.8994,1.385
-1.33,0.809,-0.02225
-0.3474,1.284,-1.175
-1.377,1.006,0.10065
-0.239,0.8735,-1.341
0.681,1.428,-2.557
-2.953,0.5474,2.225
-0.71,0.8984,-0.6523
-0.4717,0.797,-0.737
-0.917,0.604,-0.2285
-2.68,0.4258,2.62
-1.687,0.8975,0.4744
0.8613,-0.287,-0.2446
0.1113,0.964,-1.546
-0.8247,0.9966,-0.738
-0.911,0.41,0.3628
-0.1895,1.039,-1.058
-0.6074,1.085,-1.023
-0.4978,0.7603,-0.6733
1.364,1.754,-2.893
-0.1237,0.8203,-1.48
-1.317,1.124,0.1831
-0.02693,0.853,-1.422
-0.2185,0.9966,-1.3125
-0.1483,0.93,-1.478
-0.5703,0.8325,-0.896
-0.6123,0.845,-0.7266
0.004124,0.9565,-1.456
-0.0854,0.895,-1.473
-0.4724,0.9966,-1.178
-1.159,0.747,0.1514
-0.1044,1.0625,-1.459
-2.531,0.1279,2.531
0.2913,1.284,-2.074
-0.1914,0.9473,-1.378
-0.9497,1.116,-0.509
-0.001496,1.073,-1.663
-1.247,0.802,-0.0705
-1.543,0.456,0.658
-0.0653,1.121,-1.652
-1.171,0.7163,-0.01093
-0.125,0.8203,-0.9946
-1.222,0.2961,1.375
