Adequate,Effective,Ineffective
-1.044,0.6504,0.1255
-3.754,-0.932,4.45
0.2057,1.141,-1.612
-0.0372,0.941,-1.137
-0.1719,0.973,-1.088
-0.4492,0.8237,-0.6797
-1.294,0.7676,0.05478
0.05753,1.197,-1.628
-0.6304,0.8164,-0.4841
-0.1946,1.004,-1.126
-1.515,0.7266,0.265
0.5884,1.783,-2.723
-0.0644,0.94,-1.128
-0.9634,0.889,-0.4263
0.3325,1.409,-2.043
-0.06464,0.9097,-1.083
-0.4878,0.985,-0.8857
-1.387,1.16,-0.4954
-0.1371,1.307,-1.537
-0.92,1.249,-0.7905
0.4463,1.492,-2.295
-1.71,0.7163,0.2534
1.275,2.562,-4.426
-0.28,1.207,-1.282
-0.6313,0.88,-0.5996
-0.0735,1.156,-1.336
0.2886,1.252,-1.847
0.3694,1.105,-1.73
-0.4087,1.367,-1.238
-0.178,1.041,-1.236
-1.12,1.018,-0.359
0.448,1.307,-2.06
-0.2496,1.005,-1.024
0.1964,1.129,-1.577
0.3523,1.23,-1.791
-1.882,0.6055,0.779
-0.2559,0.883,-0.8975
-0.03418,0.606,-0.717
0.2751,1.344,-1.932
-0.923,0.784,-0.1951
-0.1855,0.941,-1.039
-3.73,-0.8906,4.258
-1.056,0.4973,0.279
-2.234,0.598,1.085
0.5073,1.899,-2.963
0.242,1.07,-1.551
0.649,1.683,-2.682
0.00917,1.064,-1.234
-0.1317,0.956,-1.058
-1.924,1.026,0.2368
0.0803,0.934,-1.206
-2.465,0.315,1.521
-0.9644,1.245,-0.7188
-0.9023,0.849,-0.3525
-0.07904,1.073,-1.326
-1.241,1.73,-1.156
0.596,1.378,-2.266
0.04443,0.941,-1.246
-4.19,-0.3545,3.768
-1.74,0.9976,0.1229
-3.756,-0.10425,3.11
-2.76,0.503,1.517
-2.879,0.3787,1.883
-0.3857,0.9204,-0.8306
0.2018,1.948,-2.48
-0.657,2.041,-2.02
0.3584,1.49,-2.283
-0.999,1.752,-1.492
0.803,1.123,-2.076
0.7803,1.521,-2.588
0.6836,1.516,-2.45
0.4724,1.596,-2.424
-3.2,0.2236,2.273
-0.7534,0.912,-0.391
0.4736,1.317,-2.057
-1.33,0.812,0.07
1.106,1.357,-2.584
0.2068,1.297,-1.755
-2.016,0.864,0.7095
-3.773,-0.3828,3.69
-1.467,0.672,0.404
-3.648,-0.1926,3.404
-4.117,-0.06464,3.398
-3.57,0.0739,2.771
-3.492,0.149,2.633
-0.1903,1.231,-1.362
-3.19,0.06793,2.557
-0.4802,0.8994,-0.717
-0.9375,0.978,-0.403
-0.302,0.945,-0.9473
-2.684,0.615,1.382
0.8257,1.439,-2.445
0.19,1.036,-1.453
0.3086,1.226,-1.727
-0.4412,0.9062,-0.758
-0.03056,1.046,-1.263
-2.65,0.6567,1.297
-1.104,0.8657,-0.2015
