Adequate,Effective,Ineffective
-1.005,0.514,0.3284
-3.412,-0.3665,3.572
-0.01164,1.032,-0.9087
0.05127,0.994,-0.881
-0.1383,1.024,-0.891
-0.2678,0.958,-0.6543
-1.2295,0.779,0.2211
-0.0865,1.318,-1.3545
-0.4568,0.885,-0.3953
-0.2155,1.064,-0.7666
-1.534,0.648,0.6577
0.437,1.697,-2.174
0.01336,0.9805,-0.8237
-1.255,0.923,0.04785
0.2815,1.488,-1.74
-0.08575,0.8965,-0.7456
-0.433,0.929,-0.5566
-1.373,0.854,0.2998
-0.1946,1.186,-0.9136
-0.7935,0.855,-0.1744
-0.2467,1.053,-0.866
-1.975,0.6025,1.0205
1.118,2.191,-3.43
-0.288,0.9946,-0.605
-0.5024,0.8105,-0.303
-0.004208,1.013,-1.055
0.1434,1.158,-1.275
0.2074,1.06,-1.207
0.04102,1.093,-1.109
-0.1595,1.049,-0.8394
-0.5176,1.092,-0.745
0.2295,1.197,-1.316
-0.01767,1.04,-0.933
0.1918,1.13,-1.209
0.2507,1.055,-1.148
-1.585,0.4844,0.9453
-0.2211,0.9717,-0.6255
0.08514,0.677,-0.5728
0.3274,1.388,-1.737
-0.8574,0.774,-0.01223
-0.1663,0.9478,-0.641
-3.105,-0.447,3.29
-0.5073,0.569,-0.02872
-1.769,0.6216,0.9287
0.4822,1.628,-2.186
0.2603,1.105,-1.226
0.3293,1.536,-1.853
0.2988,1.02,-1.279
-0.1794,0.9263,-0.6465
-1.292,0.901,0.2573
0.09143,0.863,-0.776
-1.438,0.6084,0.57
-0.602,0.971,-0.3486
-0.4185,0.9565,-0.579
-0.11346,1.006,-0.7944
-0.7617,1.264,-0.5933
0.05902,1.005,-0.9478
-0.04224,0.8867,-0.686
-2.666,-0.01184,2.395
-1.212,0.8247,0.2686
-2.11,0.1996,1.617
-1.718,0.4849,0.9937
-1.386,0.4617,0.78
-0.346,0.8823,-0.4045
0.0289,1.511,-1.592
-0.584,1.549,-1.089
0.12164,1.225,-1.284
-0.87,1.26,-0.566
0.3296,0.908,-1.117
0.2898,1.207,-1.402
0.3845,1.292,-1.5625
0.2213,1.242,-1.406
-2.03,0.3645,1.3125
-0.4263,0.7705,-0.507
0.1987,1.168,-1.325
-0.6387,0.987,-0.324
0.601,1.226,-1.697
0.1886,1.146,-1.298
-1.277,0.94,0.1682
-2.418,-0.10254,2.146
-1.088,0.657,0.3252
-3.125,-0.1084,2.945
-3.527,0.1327,2.94
-2.926,0.1918,2.3
-2.896,0.11597,2.414
-0.0956,1.139,-1.059
-2.408,0.5693,1.616
-0.2412,1.1045,-0.7876
-0.8755,0.8813,-0.11383
-0.428,0.8804,-0.4307
-2.605,0.4907,1.738
0.8813,1.413,-2.191
0.10785,1.11,-1.202
0.4849,1.311,-1.814
-0.2026,1.101,-0.9155
0.009575,1.118,-1.261
-1.935,0.7505,0.9224
-0.858,0.822,0.02097
-0.1772,1.229,-1.091
-1.079,0.864,0.1169
-0.05563,0.9565,-0.734
0.5806,1.396,-1.859
-2.117,0.413,1.336
-0.1611,1.0625,-0.8438
-0.1401,0.944,-0.7847
-0.6343,0.755,-0.07196
-2.664,0.349,1.881
-0.901,0.938,-0.221
0.8887,0.3171,-1.262
0.4385,1.145,-1.46
-0.7183,0.916,-0.1683
-0.721,0.4626,0.2191
-0.003181,1.202,-1.277
-0.4177,1.225,-0.7866
-0.536,0.712,-0.183
1.635,2.266,-3.922
-0.132,0.828,-0.4854
-1.798,1.052,0.4688
0.0885,1.005,-1.029
0.06805,1.211,-1.254
-0.03162,1.028,-0.848
-0.6963,0.806,-0.1277
-0.501,0.8267,-0.3933
-0.275,0.935,-0.6855
0.007355,0.975,-0.856
